article_id,bias_label_distilbert,bias_label_snorkel,bias_prob_snorkel
1133928253_esta-primera-noticia-meneada,0,0,1.3813523563555707e-13
1133943563_los-84-errores-de-noxtrum,0,0,1.4526026959141558e-13
1134043378_populicias-y-meneame-los-primeros-clones-de-digg-en-castellano,0,0,5.229760333515241e-13
1134329474_las-peores-caratulas-de-la-istoria-de-la-musica,0,0,1.5032844532223627e-13
1134524293_comparativa-de-frameworks-ajax-para-java,0,0,4.973239950742341e-13
1134524293_la-avalancha-de-los-diggs-en-espanol,0,0,4.973239950742341e-13
1134524293_la-generacion-de-los-mil-euros,0,0,5.229760333515241e-13
1134524293_puto-tabaco,1,0,5.229760333515241e-13
1134524293_widgets-en-google,0,0,4.973239950742341e-13
1134727827_como-se-ve-tu-pagina,0,0,1.3813523563555707e-13
1134909631_herramienta-de-seguimiento-para-webmasters,0,0,1.5032844532223627e-13
1134950696_windows-vista-separara-la-interface-grafica-del-kernel,0,0,4.973239950742341e-13
1134950975_como-incorporar-el-trackback-de-haloscan-manteniendo-los-comentarios-de-blogger,0,0,1.4526026959141558e-13
1134950975_delicious-falla-de-nuevo,0,0,1.3813523563555707e-13
1134950975_la-evolucion,0,0,1.4526026959141558e-13
1134950975_the-perfect-xen-setup-for-debian-and-ubuntu,0,0,1.3813523563555707e-13
1134978557_el-origen-del-ajedrez,0,0,1.4526026959141558e-13
1134978557_masturbacion-con-rotulador,0,0,1.3813523563555707e-13
1134992705_configuracion-emule-recomendada-segun-el-tipo-de-velocidad-adsl-o-adsl2,0,0,3.0998019131491464e-13
1135122079_y-si-microsoft-discontinuara-el-office-para-mac,0,0,3.0998019131491464e-13
1135236556_argentina-negroponte-y-la-computadora-de-300-pesos,0,0,1.3813523563555707e-13
1135236556_la-credibilidad-periodistica-espanola,0,0,1.3813523563555707e-13
1135236556_una-trucha-con-dos-bocas-mutacion,0,0,1.3813523563555707e-13
1135278284_volver-al-futuro-4,0,0,1.3813523563555707e-13
1135524479_coleccion-de-plantillas-web-gratuitas,0,0,1.5032844532223627e-13
1135551036_el-mejor-chiste-de-rubias-de-la-historia,0,0,1.5032844532223627e-13
1135551036_el-navegador-web-cumple-15-anos,0,0,1.5808240666688706e-13
1135985227_el-buscador-europeo-quaero-sera-lanzado-en-enero-de-2006,0,0,4.973239950742341e-13
